     H        R_TMM     R_Theory
0.9289       0.1879       0.1858
0.9299       0.1846       0.1825
0.9309       0.1814       0.1793
0.9319       0.1781       0.1761
0.9329       0.1749       0.1729
0.9339       0.1717       0.1696
0.9349       0.1685       0.1665
0.9359       0.1653       0.1633
0.9369       0.1622       0.1601
0.9379       0.1590       0.1570
0.9389       0.1559       0.1538
0.9399       0.1527       0.1507
0.9409       0.1496       0.1476
0.9419       0.1465       0.1445
0.9429       0.1435       0.1415
0.9439       0.1404       0.1384
0.9449       0.1374       0.1354
0.9459       0.1344       0.1324
0.9469       0.1314       0.1295
0.9479       0.1285       0.1265
0.9489       0.1255       0.1236
0.9499       0.1226       0.1208
0.9510       0.1198       0.1179
0.9520       0.1169       0.1151
0.9530       0.1141       0.1123
0.9540       0.1114       0.1096
0.9550       0.1087       0.1069
0.9560       0.1060       0.1042
0.9570       0.1033       0.1016
0.9580       0.1007       0.0990
0.9590       0.0981       0.0964
0.9600       0.0956       0.0939
0.9610       0.0931       0.0914
0.9620       0.0906       0.0890
0.9630       0.0882       0.0866
0.9640       0.0858       0.0843
0.9650       0.0835       0.0820
0.9660       0.0813       0.0798
0.9670       0.0791       0.0776
0.9680       0.0769       0.0755
0.9690       0.0748       0.0734
0.9700       0.0727       0.0714
0.9710       0.0707       0.0694
0.9720       0.0688       0.0675
0.9730       0.0669       0.0656
0.9740       0.0650       0.0638
0.9750       0.0632       0.0621
0.9760       0.0615       0.0604
0.9770       0.0599       0.0588
0.9780       0.0583       0.0572
0.9790       0.0567       0.0557
0.9800       0.0553       0.0543
0.9810       0.0538       0.0529
0.9820       0.0525       0.0516
0.9830       0.0512       0.0504
0.9840       0.0500       0.0492
0.9850       0.0489       0.0481
0.9860       0.0478       0.0471
0.9870       0.0468       0.0461
0.9880       0.0458       0.0452
0.9890       0.0449       0.0444
0.9900       0.0441       0.0436
0.9910       0.0434       0.0429
0.9920       0.0427       0.0423
0.9930       0.0421       0.0418
0.9940       0.0416       0.0413
0.9950       0.0412       0.0409
0.9960       0.0408       0.0406
0.9970       0.0405       0.0403
0.9980       0.0403       0.0401
0.9990       0.0401       0.0400
1.0000       0.0400       0.0400
