     H        R_TMM     R_Theory
0.2122       0.4965       0.4966
0.2132       0.4972       0.4973
0.2142       0.4979       0.4980
0.2152       0.4986       0.4987
0.2162       0.4992       0.4993
0.2172       0.4999       0.5000
0.2182       0.5005       0.5006
0.2192       0.5011       0.5012
0.2202       0.5017       0.5018
0.2212       0.5022       0.5023
0.2222       0.5028       0.5029
0.2232       0.5033       0.5034
0.2242       0.5038       0.5039
0.2252       0.5043       0.5044
0.2262       0.5048       0.5048
0.2272       0.5052       0.5053
0.2282       0.5056       0.5057
0.2292       0.5060       0.5061
0.2302       0.5064       0.5065
0.2312       0.5068       0.5069
0.2322       0.5072       0.5072
0.2332       0.5075       0.5075
0.2342       0.5078       0.5078
0.2352       0.5081       0.5081
0.2362       0.5084       0.5084
0.2372       0.5086       0.5087
0.2382       0.5089       0.5089
0.2392       0.5091       0.5091
0.2402       0.5093       0.5093
0.2412       0.5094       0.5095
0.2422       0.5096       0.5096
0.2432       0.5097       0.5098
0.2442       0.5099       0.5099
0.2452       0.5100       0.5100
0.2462       0.5101       0.5101
0.2472       0.5101       0.5101
0.2482       0.5102       0.5102
0.2492       0.5102       0.5102
0.2503       0.5102       0.5102
0.2513       0.5102       0.5102
0.2523       0.5102       0.5102
0.2533       0.5101       0.5101
0.2543       0.5100       0.5100
0.2553       0.5100       0.5099
0.2563       0.5099       0.5098
0.2573       0.5097       0.5097
0.2583       0.5096       0.5096
0.2593       0.5094       0.5094
0.2603       0.5092       0.5092
0.2613       0.5090       0.5090
0.2623       0.5088       0.5088
0.2633       0.5086       0.5085
0.2643       0.5083       0.5083
0.2653       0.5080       0.5080
0.2663       0.5078       0.5077
0.2673       0.5074       0.5074
0.2683       0.5071       0.5070
0.2693       0.5067       0.5067
0.2703       0.5064       0.5063
0.2713       0.5060       0.5059
0.2723       0.5056       0.5055
0.2733       0.5051       0.5051
0.2743       0.5047       0.5046
0.2753       0.5042       0.5041
0.2763       0.5037       0.5036
0.2773       0.5032       0.5031
0.2783       0.5027       0.5026
0.2793       0.5022       0.5020
0.2803       0.5016       0.5015
0.2813       0.5010       0.5009
0.2823       0.5004       0.5003
0.2833       0.4998       0.4996
0.2843       0.4991       0.4990
0.2853       0.4985       0.4983
0.2863       0.4978       0.4976
0.2873       0.4971       0.4969
0.2883       0.4963       0.4962
0.2893       0.4956       0.4954
0.2903       0.4948       0.4947
0.2913       0.4941       0.4939
0.2923       0.4932       0.4931
0.2933       0.4924       0.4923
0.2943       0.4916       0.4914
0.2953       0.4907       0.4905
0.2963       0.4898       0.4896
0.2973       0.4889       0.4887
0.2983       0.4880       0.4878
0.2993       0.4870       0.4868
0.3003       0.4861       0.4859
0.3013       0.4851       0.4849
0.3023       0.4841       0.4839
0.3033       0.4831       0.4828
0.3043       0.4820       0.4818
0.3053       0.4809       0.4807
0.3063       0.4798       0.4796
0.3073       0.4787       0.4785
0.3083       0.4776       0.4774
0.3093       0.4764       0.4762
0.3103       0.4753       0.4750
0.3113       0.4741       0.4738
0.3123       0.4729       0.4726
0.3133       0.4716       0.4713
0.3143       0.4704       0.4701
0.3153       0.4691       0.4688
